RFC 791 IPv4 Header: What is the purpose of the <b>Version</b> field (4 bits)?	Should be 4 for IPv4; any other value indicates misclassification or malformed traffic.	header_field version 791
RFC 791 IPv4 Header: What is the purpose of the <b>IHL</b> field (4 bits)?	Header length; unusually large values imply IP options, while invalid short values are malformed.	header_field ihl 791
RFC 791 IPv4 Header: What is the purpose of the <b>Type of Service</b> field (8 bits)?	QoS/precedence byte; odd markings can indicate tunneling, policy abuse, or legacy stack artifacts.	header_field type_of_service 791
RFC 791 IPv4 Header: What is the purpose of the <b>Total Length</b> field (16 bits)?	Full packet length; mismatches with capture length can indicate truncation, evasion, or malformed packets.	header_field total_length 791
RFC 791 IPv4 Header: What is the purpose of the <b>Identification</b> field (16 bits)?	Fragment correlation value; predictable or repeated IDs help fingerprint hosts and spot fragmentation abuse.	header_field identification 791
RFC 791 IPv4 Header: What is the purpose of the <b>Flags</b> field (3 bits)?	DF/MF fragmentation controls; watch illegal reserved-bit use and suspicious fragmentation patterns.	header_field flags 791
RFC 791 IPv4 Header: What is the purpose of the <b>Fragment Offset</b> field (13 bits)?	Fragment position; tiny, overlapping, or excessive fragments are classic IDS evasion signals.	header_field fragment_offset 791
RFC 791 IPv4 Header: What is the purpose of the <b>TTL</b> field (8 bits)?	Decrements each hop; unusually low or inconsistent TTL can indicate spoofing or traceroute probing.	header_field ttl 791
RFC 791 IPv4 Header: What is the purpose of the <b>Protocol</b> field (8 bits)?	Next-layer protocol number; unexpected values may indicate tunneling, scanning, or parser confusion.	header_field protocol 791
RFC 791 IPv4 Header: What is the purpose of the <b>Header Checksum</b> field (16 bits)?	IPv4 header integrity; invalid values suggest corruption, offload artifacts, or crafted packets.	header_field header_checksum 791
RFC 791 IPv4 Header: What is the purpose of the <b>Source Address</b> field (32 bits)?	Origin IPv4 address; private, bogon, or impossible sources on external links suggest spoofing.	header_field source_address 791
RFC 791 IPv4 Header: What is the purpose of the <b>Destination Address</b> field (32 bits)?	Target IPv4 address; unexpected internal, multicast, or broadcast destinations deserve review.	header_field destination_address 791
RFC 791 IPv4 Header: What is the purpose of the <b>Options/Padding</b> field (32 bits)?	Optional and variable; rare on normal traffic, so source route/record route options are high-signal.	header_field options/padding 791
RFC 793 TCP Header: What is the purpose of the <b>Source Port</b> field (16 bits)?	Client or service port; suspicious reuse, impossible services, or odd pairings can reveal scans or spoofing.	header_field source_port 793
RFC 793 TCP Header: What is the purpose of the <b>Destination Port</b> field (16 bits)?	Target service port; hunt for unauthorized services, fan-out scans, or policy bypass attempts.	header_field destination_port 793
RFC 793 TCP Header: What is the purpose of the <b>Sequence Number</b> field (32 bits)?	Byte-stream position; repeated, predictable, or out-of-window values may indicate injection or spoofing.	header_field sequence_number 793
RFC 793 TCP Header: What is the purpose of the <b>Acknowledgment Number</b> field (32 bits)?	Next expected byte when ACK is set; impossible ACKs reveal scans, desync, or spoofed packets.	header_field acknowledgment_number 793
RFC 793 TCP Header: What is the purpose of the <b>Data Offset</b> field (4 bits)?	TCP header length; large values mean options, while invalid small values are malformed.	header_field data_offset 793
RFC 793 TCP Header: What is the purpose of the <b>Reserved</b> field (6 bits)?	Should be zero in RFC 793; non-zero reserved bits often indicate crafted or evasive traffic.	header_field reserved 793
RFC 793 TCP Header: What is the purpose of the <b>TCP Flags</b> field (6 bits)?	SYN/ACK/RST/FIN combinations; watch for illegal flag combos, SYN floods, or RST injection.	header_field tcp_flags 793
RFC 793 TCP Header: What is the purpose of the <b>Window</b> field (16 bits)?	Advertised receive window; zero-window abuse, odd scaling, or fingerprintable values can stand out.	header_field window 793
RFC 793 TCP Header: What is the purpose of the <b>Checksum</b> field (16 bits)?	TCP integrity check; invalid values can be offload artifacts or crafted packet evidence.	header_field checksum 793
RFC 793 TCP Header: What is the purpose of the <b>Urgent Pointer</b> field (16 bits)?	Only meaningful with URG; unexpected use is rare and can indicate evasion or legacy attacks.	header_field urgent_pointer 793
RFC 793 TCP Header: What is the purpose of the <b>Options/Padding</b> field (32 bits)?	Variable options such as MSS, SACK, timestamps; odd combinations can fingerprint tools or evasions.	header_field options/padding 793
RFC 1035 DNS Message Header: What is the purpose of the <b>ID</b> field (16 bits)?	Transaction identifier; repeated, predictable, or mismatched IDs can indicate spoofing or cache-poisoning attempts.	header_field id 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>QR</b> field (1 bits)?	Query/response bit; responses without queries or queries marked as responses are suspicious.	header_field qr 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>Opcode</b> field (4 bits)?	Operation code; non-standard opcodes are rare and high-signal.	header_field opcode 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>AA</b> field (1 bits)?	Authoritative answer; unexpected authority can indicate spoofing or rogue infrastructure.	header_field aa 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>TC</b> field (1 bits)?	Truncation flag; frequent truncation can force TCP fallback or indicate oversized abuse.	header_field tc 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>RD</b> field (1 bits)?	Recursion desired; unexpected recursion from restricted networks can show resolver misuse.	header_field rd 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>RA</b> field (1 bits)?	Recursion available; rogue or exposed recursive resolvers often reveal themselves here.	header_field ra 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>Z</b> field (3 bits)?	Reserved bits; non-zero values are abnormal except negotiated extensions.	header_field z 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>RCODE</b> field (4 bits)?	Response code; spikes in NXDOMAIN, SERVFAIL, or REFUSED can reveal DGA, outages, or probing.	header_field rcode 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>QDCOUNT</b> field (16 bits)?	Question count; values other than one are uncommon and may be malformed or evasive.	header_field qdcount 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>ANCOUNT</b> field (16 bits)?	Answer count; unusual cardinality can indicate amplification, fast-flux, or malformed responses.	header_field ancount 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>NSCOUNT</b> field (16 bits)?	Authority count; unexpected delegations or large counts can expose suspicious DNS infrastructure.	header_field nscount 1035
RFC 1035 DNS Message Header: What is the purpose of the <b>ARCOUNT</b> field (16 bits)?	Additional count; EDNS, glue, and oversized additional data are useful abuse indicators.	header_field arcount 1035
RFC 2131 DHCP Message Header: What is the purpose of the <b>op</b> field (8 bits)?	Message op code; BOOTREQUEST/BOOTREPLY direction mismatches can reveal spoofing or relay issues.	header_field op 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>htype</b> field (8 bits)?	Hardware type; unexpected values on Ethernet networks can indicate crafted clients.	header_field htype 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>hlen</b> field (8 bits)?	Hardware address length; invalid lengths break client identity and indicate malformed traffic.	header_field hlen 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>hops</b> field (8 bits)?	Relay hop count; high or unexpected values suggest relay loops or unusual topology.	header_field hops 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>xid</b> field (32 bits)?	Transaction ID; collisions, repeats, or mismatches help spot spoofed offers and rogue servers.	header_field xid 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>secs</b> field (16 bits)?	Elapsed seconds; high values can signal client distress or lease acquisition problems.	header_field secs 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>flags</b> field (16 bits)?	Broadcast flag and reserved bits; abnormal reserved use may indicate crafted clients.	header_field flags 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>ciaddr</b> field (32 bits)?	Client IP address; unexpected preconfigured values can reveal conflicts or spoofing.	header_field ciaddr 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>yiaddr</b> field (32 bits)?	Your/client IP address offered by server; watch unauthorized ranges or duplicate offers.	header_field yiaddr 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>siaddr</b> field (32 bits)?	Next server address; unexpected boot servers can indicate rogue provisioning.	header_field siaddr 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>giaddr</b> field (32 bits)?	Relay agent address; unexpected relays may show rogue infrastructure or segmentation errors.	header_field giaddr 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>chaddr</b> field (128 bits)?	Client hardware address; mismatches with L2 source indicate spoofing or relay oddities.	header_field chaddr 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>Magic Cookie</b> field (32 bits)?	DHCP option marker; missing or wrong value indicates non-DHCP BOOTP or malformed packets.	header_field magic_cookie 2131
RFC 2131 DHCP Message Header: What is the purpose of the <b>Options</b> field (32 bits)?	Variable options; hunt rogue DNS/router options, odd vendor classes, and lease manipulation.	header_field options 2131
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Version</b> field (8 bits)?	Should be 2 for OSPFv2; mismatches indicate malformed or wrong-protocol traffic.	header_field version 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Type</b> field (8 bits)?	Hello, DB Description, LS Request, LS Update, or LS Ack; unusual type bursts can show adjacency attacks.	header_field type 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Packet Length</b> field (16 bits)?	Full OSPF packet length; mismatches suggest malformed packets or capture corruption.	header_field packet_length 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Router ID</b> field (32 bits)?	Originating router identity; duplicate or unexpected IDs indicate spoofing or misconfiguration.	header_field router_id 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Area ID</b> field (32 bits)?	OSPF area; wrong-area packets are high-signal for rogue routers or topology leaks.	header_field area_id 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Checksum</b> field (16 bits)?	OSPF packet integrity; invalid checksums indicate corruption or crafted traffic.	header_field checksum 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>AuType</b> field (16 bits)?	Authentication type; none or unexpected auth mode can expose insecure adjacencies.	header_field autype 2328
RFC 2328 OSPFv2 Packet Header: What is the purpose of the <b>Authentication</b> field (64 bits)?	Authentication data; failures or mismatches can reveal adjacency hijack attempts.	header_field authentication 2328
RFC 2460 IPv6 Header: What is the purpose of the <b>Version</b> field (4 bits)?	Should be 6 for IPv6; other values indicate malformed traffic or parser confusion.	header_field version 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Traffic Class</b> field (8 bits)?	QoS markings; unusual values can indicate tunneling, covert marking, or policy abuse.	header_field traffic_class 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Flow Label</b> field (20 bits)?	Flow identifier; unexpected non-zero or inconsistent labels can fingerprint hosts or tools.	header_field flow_label 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Payload Length</b> field (16 bits)?	Length after fixed header; zero jumbo payloads or mismatches deserve scrutiny.	header_field payload_length 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Next Header</b> field (8 bits)?	Upper-layer or extension header; long or unusual chains can bypass filters or hide payloads.	header_field next_header 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Hop Limit</b> field (8 bits)?	IPv6 TTL equivalent; unusually low or inconsistent values suggest spoofing or probing.	header_field hop_limit 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Source Address</b> field (128 bits)?	Origin IPv6 address; link-local, ULA, multicast, or spoofed sources in wrong zones are suspicious.	header_field source_address 2460
RFC 2460 IPv6 Header: What is the purpose of the <b>Destination Address</b> field (128 bits)?	Target IPv6 address; unexpected multicast, link-local, or routed destinations aid hunting.	header_field destination_address 2460
RFC 4271 BGP Message Header: What is the purpose of the <b>Marker</b> field (128 bits)?	All ones unless authentication is used; wrong marker values indicate malformed or non-BGP traffic.	header_field marker 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>Length</b> field (16 bits)?	Total BGP message length; abnormal sizes can indicate malformed messages or UPDATE floods.	header_field length 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>Type</b> field (8 bits)?	OPEN, UPDATE, NOTIFICATION, or KEEPALIVE; unexpected type sequences reveal session abuse or resets.	header_field type 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>UPDATE Withdrawn Routes Length</b> field (16 bits)?	Withdrawn prefix block size; spikes can reveal route leaks, flaps, or attacks.	header_field update_withdrawn_routes_length 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>Withdrawn Routes</b> field (32 bits)?	Variable list of withdrawn prefixes; unexpected critical-prefix withdrawal is high-signal.	header_field withdrawn_routes 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>Path Attributes Length</b> field (16 bits)?	Size of path attributes; malformed values can trigger parser bugs or session resets.	header_field path_attributes_length 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>Path Attributes</b> field (32 bits)?	AS_PATH manipulation is the primary vector for route hijacking; watch origin, next-hop, and community anomalies.	header_field path_attributes 4271
RFC 4271 BGP Message Header: What is the purpose of the <b>NLRI</b> field (32 bits)?	Advertised prefixes; more-specific or unauthorized announcements indicate leaks or hijacks.	header_field nlri 4271
RFC 5321 SMTP Command/Reply Fields: What is the purpose of the <b>Command Verb</b> field (32 bits)?	HELO/EHLO, MAIL, RCPT, DATA, AUTH, STARTTLS; odd ordering or unsupported verbs indicate probing or abuse.	header_field command_verb 5321
RFC 5321 SMTP Command/Reply Fields: What is the purpose of the <b>Reply Code</b> field (24 bits)?	Three-digit server response; 5xx/4xx spikes can show credential attacks, relay probing, or delivery failures.	header_field reply_code 5321
RFC 5321 SMTP Command/Reply Fields: What is the purpose of the <b>Enhanced Status</b> field (32 bits)?	Optional x.y.z status; abnormal failures help separate policy blocks, auth problems, and reputation issues.	header_field enhanced_status 5321
RFC 5321 SMTP Command/Reply Fields: What is the purpose of the <b>Mailbox Path</b> field (32 bits)?	MAIL FROM/RCPT TO identity; null senders, lookalikes, and relay targets are hunting pivots.	header_field mailbox_path 5321
RFC 5321 SMTP Command/Reply Fields: What is the purpose of the <b>Extension Args</b> field (32 bits)?	ESMTP parameters such as SIZE, AUTH, STARTTLS; downgrades or suspicious auth use deserve review.	header_field extension_args 5321
RFC 768 (User Datagram Protocol) - Threat Indicator: <b>Amplification Attacks</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Payload size roughly matches query size.<br><br><b>Malicious:</b> Small query triggers massive response (e.g. DNS/NTP reflection).<br><br><b>Severity:</b> HIGH	threat_indicator high 768
RFC 768 (User Datagram Protocol) - Threat Indicator: <b>Port 0 Usage</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Ports range from 1-65535.<br><br><b>Malicious:</b> Source or destination port is 0, often used in fingerprinting or bypass.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 768
RFC 768 (User Datagram Protocol) - Threat Indicator: <b>Unusual Length Values</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Length field matches actual payload size.<br><br><b>Malicious:</b> Length field is larger than packet or impossibly small.<br><br><b>Severity:</b> HIGH	threat_indicator high 768
RFC 791 (Internet Protocol) - Threat Indicator: <b>TTL Anomalies</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Consistent TTL values from a single host.<br><br><b>Malicious:</b> Abrupt TTL changes suggest spoofing or traceroute probing.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 791
RFC 791 (Internet Protocol) - Threat Indicator: <b>Fragmentation Abuse</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Standard fragmentation for large MTUs.<br><br><b>Malicious:</b> Overlapping or tiny fragments designed to bypass IDS/firewalls.<br><br><b>Severity:</b> HIGH	threat_indicator high 791
RFC 791 (Internet Protocol) - Threat Indicator: <b>Reserved Bit Set</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Reserved bit is always 0.<br><br><b>Malicious:</b> Evil bit (RFC 3514) or non-zero reserved bits in crafted traffic.<br><br><b>Severity:</b> LOW	threat_indicator low 791
RFC 791 (Internet Protocol) - Threat Indicator: <b>Source Routing Options</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> IP options are rare; routing is hop-by-hop.<br><br><b>Malicious:</b> Strict or loose source routing to bypass topology constraints.<br><br><b>Severity:</b> HIGH	threat_indicator high 791
RFC 793 (Transmission Control Protocol) - Threat Indicator: <b>Illegal Flag Combinions</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Valid state transitions (SYN, SYN-ACK, etc).<br><br><b>Malicious:</b> NULL, Xmas, or SYN-FIN scans; flags that shouldn't exist together.<br><br><b>Severity:</b> HIGH	threat_indicator high 793
RFC 793 (Transmission Control Protocol) - Threat Indicator: <b>SYN Flood Patterns</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Balanced SYN and ACK packets.<br><br><b>Malicious:</b> Massive burst of SYNs without corresponding ACKs from many IPs.<br><br><b>Severity:</b> HIGH	threat_indicator high 793
RFC 793 (Transmission Control Protocol) - Threat Indicator: <b>RST Injection</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> RST sent on connection close or error.<br><br><b>Malicious:</b> Unsolicited RSTs designed to kill active legitimate sessions.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 793
RFC 793 (Transmission Control Protocol) - Threat Indicator: <b>Window Size Anomalies</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Dynamic window scaling based on congestion.<br><br><b>Malicious:</b> Stuck at tiny values or zero-window probes to hang servers.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 793
RFC 793 (Transmission Control Protocol) - Threat Indicator: <b>Urgent Pointer Abuse</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Rarely used in modern protocols.<br><br><b>Malicious:</b> Non-zero urgent pointer in data-less packets to trigger parser bugs.<br><br><b>Severity:</b> LOW	threat_indicator low 793
RFC 1035 (Domain Names - Implementation and Specification) - Threat Indicator: <b>Long Subdomain Chains</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> 2-3 levels of subdomains (e.g. mail.google.com).<br><br><b>Malicious:</b> Many layers of encoded data in subdomains (DNS tunneling).<br><br><b>Severity:</b> HIGH	threat_indicator high 1035
RFC 1035 (Domain Names - Implementation and Specification) - Threat Indicator: <b>High Entropy Labels</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Human-readable or dictionary-based names.<br><br><b>Malicious:</b> Random-looking strings (DGA or encoded exfiltration).<br><br><b>Severity:</b> HIGH	threat_indicator high 1035
RFC 1035 (Domain Names - Implementation and Specification) - Threat Indicator: <b>TXT Record Abuse</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Brief descriptive text or SPF records.<br><br><b>Malicious:</b> Large payloads or encoded scripts stored in TXT records.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 1035
RFC 1035 (Domain Names - Implementation and Specification) - Threat Indicator: <b>Zone Transfer Attempts</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> AXFR restricted to authorized secondaries.<br><br><b>Malicious:</b> Unsolicited AXFR requests to map internal network domains.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 1035
RFC 1035 (Domain Names - Implementation and Specification) - Threat Indicator: <b>Fast Flux Patterns</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> IPs change occasionally for load balancing.<br><br><b>Malicious:</b> IPs change every few seconds to hide malicious infrastructure.<br><br><b>Severity:</b> HIGH	threat_indicator high 1035
RFC 2131 (Dynamic Host Configuration Protocol) - Threat Indicator: <b>Rogue Server Indicators</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> DHCP offers from known, authorized servers.<br><br><b>Malicious:</b> Offers from unknown IPs providing malicious DNS/Gateway.<br><br><b>Severity:</b> HIGH	threat_indicator high 2131
RFC 2131 (Dynamic Host Configuration Protocol) - Threat Indicator: <b>Starvation Attacks</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Normal pool depletion over time.<br><br><b>Malicious:</b> Rapid pool exhaustion using many spoofed MAC addresses.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 2131
RFC 2131 (Dynamic Host Configuration Protocol) - Threat Indicator: <b>Unusual Option Fields</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Standard options (1, 3, 6, 15, 51).<br><br><b>Malicious:</b> Excessive or malformed options used for fingerprinting/overflow.<br><br><b>Severity:</b> LOW	threat_indicator low 2131
RFC 2328 (OSPF Version 2) - Threat Indicator: <b>Unexpected LSA Flooding</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Periodic LSA updates on topology change.<br><br><b>Malicious:</b> Storm of LSAs designed to consume router CPU/memory.<br><br><b>Severity:</b> HIGH	threat_indicator high 2328
RFC 2328 (OSPF Version 2) - Threat Indicator: <b>Neighbor Spoofing</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Adjacencies with trusted local routers.<br><br><b>Malicious:</b> Spoofed HELLOs to trigger adjacency and route injection.<br><br><b>Severity:</b> HIGH	threat_indicator high 2328
RFC 2328 (OSPF Version 2) - Threat Indicator: <b>Max Age Poisoning</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> LSAs age out normally after 3600s.<br><br><b>Malicious:</b> Prematurely aging legitimate routes to cause reachability loss.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 2328
RFC 2460 (Internet Protocol, Version 6 (IPv6) Specification) - Threat Indicator: <b>Extension Header Abuse</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> 0-1 simple extension headers.<br><br><b>Malicious:</b> Long chains of headers to hide payload from shallow inspection.<br><br><b>Severity:</b> HIGH	threat_indicator high 2460
RFC 2460 (Internet Protocol, Version 6 (IPv6) Specification) - Threat Indicator: <b>Tunneling Indicators</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Standard IPv6 traffic.<br><br><b>Malicious:</b> IPv6-in-IPv4 (6to4/Teredo) used to bypass IPv4-only filters.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 2460
RFC 2460 (Internet Protocol, Version 6 (IPv6) Specification) - Threat Indicator: <b>Unexpected ICMPv6</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Essential ND and error messages.<br><br><b>Malicious:</b> Flood of Redirects or RA to perform MitM or DoS.<br><br><b>Severity:</b> HIGH	threat_indicator high 2460
RFC 4271 (A Border Gateway Protocol 4 (BGP-4)) - Threat Indicator: <b>AS_PATH Anomalies</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Paths consistent with historical peering.<br><br><b>Malicious:</b> Impossibly short or circular paths; unauthorized AS inclusion.<br><br><b>Severity:</b> HIGH	threat_indicator high 4271
RFC 4271 (A Border Gateway Protocol 4 (BGP-4)) - Threat Indicator: <b>Prefix Hijacking Patterns</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Origins match authorized IRR/RPKI records.<br><br><b>Malicious:</b> Unauthorized AS announcing a more-specific or new prefix.<br><br><b>Severity:</b> HIGH	threat_indicator high 4271
RFC 4271 (A Border Gateway Protocol 4 (BGP-4)) - Threat Indicator: <b>Unusual COMMUNITY Values</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Used for standard traffic engineering.<br><br><b>Malicious:</b> Proprietary or 'blackhole' communities used to redirect traffic.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 4271
RFC 4271 (A Border Gateway Protocol 4 (BGP-4)) - Threat Indicator: <b>Route Leaks</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Routes stay within intended peering boundaries.<br><br><b>Malicious:</b> Propagating private peering routes to the global internet.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 4271
RFC 5321 (Simple Mail Transfer Protocol) - Threat Indicator: <b>Open Relay Indicators</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Rejects mail for external domains.<br><br><b>Malicious:</b> Accepts mail from any source for any destination (spam).<br><br><b>Severity:</b> HIGH	threat_indicator high 5321
RFC 5321 (Simple Mail Transfer Protocol) - Threat Indicator: <b>Header Injection</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> CRLF only used to terminate lines.<br><br><b>Malicious:</b> Encoded CRLF in fields to inject 'Bcc' or 'Subject' headers.<br><br><b>Severity:</b> HIGH	threat_indicator high 5321
RFC 5321 (Simple Mail Transfer Protocol) - Threat Indicator: <b>Unusual EHLO Values</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> FQDN of the sending mail server.<br><br><b>Malicious:</b> Internal IPs, 'localhost', or random strings in EHLO.<br><br><b>Severity:</b> LOW	threat_indicator low 5321
RFC 5321 (Simple Mail Transfer Protocol) - Threat Indicator: <b>Bounce Flooding</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Occasional NDNs for valid delivery errors.<br><br><b>Malicious:</b> Massive volume of bounces to a spoofed 'From' address.<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 5321
RFC 3954 (Cisco Systems NetFlow Services Export Version 9) - Threat Indicator: <b>Flow Record Anomalies</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Flows match expected service patterns.<br><br><b>Malicious:</b> Unidirectional flows, many tiny flows (scanning/DDoS).<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 3954
RFC 3954 (Cisco Systems NetFlow Services Export Version 9) - Threat Indicator: <b>Exporter Spoofing</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> NetFlow from known gateway/switch IPs.<br><br><b>Malicious:</b> Flow data from unauthorized IPs to poison telemetry.<br><br><b>Severity:</b> HIGH	threat_indicator high 3954
RFC 3954 (Cisco Systems NetFlow Services Export Version 9) - Threat Indicator: <b>Unusual Template IDs</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Static or slowly changing templates.<br><br><b>Malicious:</b> Rapid template rotation or template exhaustion attacks.<br><br><b>Severity:</b> LOW	threat_indicator low 3954
RFC 7011 (Specification of the IP Flow Information Export (IPFIX) Protocol) - Threat Indicator: <b>Flow Record Anomalies</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Flows match expected service patterns.<br><br><b>Malicious:</b> Unidirectional flows, many tiny flows (scanning/DDoS).<br><br><b>Severity:</b> MEDIUM	threat_indicator medium 7011
RFC 7011 (Specification of the IP Flow Information Export (IPFIX) Protocol) - Threat Indicator: <b>Exporter Spoofing</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> IPFIX from known gateway/switch IPs.<br><br><b>Malicious:</b> Flow data from unauthorized IPs to poison telemetry.<br><br><b>Severity:</b> HIGH	threat_indicator high 7011
RFC 7011 (Specification of the IP Flow Information Export (IPFIX) Protocol) - Threat Indicator: <b>Unusual Template IDs</b><br><br>What is the <b>malicious indicator</b> compared to normal behavior?	<b>Normal:</b> Static or slowly changing templates.<br><br><b>Malicious:</b> Rapid template rotation or template exhaustion attacks.<br><br><b>Severity:</b> LOW	threat_indicator low 7011
